"Country or Area","Year","Sex","Classification","Subclassification","Source","SourceID","Value","Value Footnotes","Value Footnotes"
"Tunisia","1976","Total men and women","ISIC-Rev.2","9. Community, Social and Personal Services","Official estimates","# 0","230.25","",""
"Tunisia","1976","Total men and women","ISIC-Rev.2","0. Activities not Adequately Defined","Official estimates","# 0","62.33","",""
"Tunisia","1976","Men","ISIC-Rev.2","Total.","Official estimates","# 0","1163.5","",""
"Tunisia","1976","Men","ISIC-Rev.2","1. Agriculture, Hunting, Forestry and Fishing","Official estimates","# 0","461","",""
"Tunisia","1976","Men","ISIC-Rev.2","2. Mining and Quarrying","Official estimates","# 0","15.7","",""
"Tunisia","1976","Men","ISIC-Rev.2","3. Manufacturing","Official estimates","# 0","135.5","",""
"Tunisia","1976","Men","ISIC-Rev.2","4. Electricity, Gas and Water","Official estimates","# 0","7.2","",""
"Tunisia","1976","Men","ISIC-Rev.2","5. Construction","Official estimates","# 0","138.5","",""
"Tunisia","1976","Men","ISIC-Rev.2","6. Wholesale and Retail Trade and Restaurants and Hotels","Official estimates","# 0","111.9","",""
"Tunisia","1976","Men","ISIC-Rev.2","7. Transport, Storage and Communication","Official estimates","# 0","51.74","",""
"Tunisia","1976","Men","ISIC-Rev.2","8. Financing, Insurance, Real Estate and Business Services","Official estimates","# 0","6.29","",""
"Tunisia","1976","Men","ISIC-Rev.2","9. Community, Social and Personal Services","Official estimates","# 0","180.51","",""
"Tunisia","1976","Men","ISIC-Rev.2","0. Activities not Adequately Defined","Official estimates","# 0","55.11","",""
"Tunisia","1976","Women","ISIC-Rev.2","Total.","Official estimates","# 0","276.6","",""
"Tunisia","1976","Women","ISIC-Rev.2","1. Agriculture, Hunting, Forestry and Fishing","Official estimates","# 0","70","",""
"Tunisia","1976","Women","ISIC-Rev.2","3. Manufacturing","Official estimates","# 0","134.68","",""
"Tunisia","1976","Women","ISIC-Rev.2","4. Electricity, Gas and Water","Official estimates","# 0","0.6","",""
"Tunisia","1976","Women","ISIC-Rev.2","5. Construction","Official estimates","# 0","1.1","",""
"Tunisia","1976","Women","ISIC-Rev.2","6. Wholesale and Retail Trade and Restaurants and Hotels","Official estimates","# 0","9.65","",""
"Tunisia","1976","Women","ISIC-Rev.2","7. Transport, Storage and Communication","Official estimates","# 0","1.6","",""
"Tunisia","1976","Women","ISIC-Rev.2","8. Financing, Insurance, Real Estate and Business Services","Official estimates","# 0","2.01","",""
"Tunisia","1976","Women","ISIC-Rev.2","9. Community, Social and Personal Services","Official estimates","# 0","49.74","",""
"Tunisia","1976","Women","ISIC-Rev.2","0. Activities not Adequately Defined","Official estimates","# 0","7.22","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","Total.","Official estimates","# 0","1366.52","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","1. Agriculture, Hunting, Forestry and Fishing","Official estimates","# 0","508.93","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","2. Mining and Quarrying","Official estimates","# 0","26.63","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","3. Manufacturing","Official estimates","# 0","235.16","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","4. Electricity, Gas and Water","Official estimates","# 0","11.48","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","5. Construction","Official estimates","# 0","128.36","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","6. Wholesale and Retail Trade and Restaurants and Hotels","Official estimates","# 0","116.65","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","7. Transport, Storage and Communication","Official estimates","# 0","56.02","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","8. Financing, Insurance, Real Estate and Business Services","Official estimates","# 0","7.69","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","9. Community, Social and Personal Services","Official estimates","# 0","213.31","",""
"Tunisia","1975","Total men and women","ISIC-Rev.2","0. Activities not Adequately Defined","Official estimates","# 0","62.29","",""
"Tunisia","1975","Men","ISIC-Rev.2","Total.","Official estimates","# 0","1105.94","",""
"Tunisia","1975","Men","ISIC-Rev.2","1. Agriculture, Hunting, Forestry and Fishing","Official estimates","# 0","439.95","",""
"Tunisia","1975","Men","ISIC-Rev.2","2. Mining and Quarrying","Official estimates","# 0","26.21","",""
"Tunisia","1975","Men","ISIC-Rev.2","3. Manufacturing","Official estimates","# 0","111.96","",""
"Tunisia","1975","Men","ISIC-Rev.2","4. Electricity, Gas and Water","Official estimates","# 0","10.96","",""
"Tunisia","1975","Men","ISIC-Rev.2","5. Construction","Official estimates","# 0","127.29","",""
"Tunisia","1975","Men","ISIC-Rev.2","6. Wholesale and Retail Trade and Restaurants and Hotels","Official estimates","# 0","109.54","",""
"Tunisia","1975","Men","ISIC-Rev.2","7. Transport, Storage and Communication","Official estimates","# 0","53.22","",""
"Tunisia","1975","Men","ISIC-Rev.2","8. Financing, Insurance, Real Estate and Business Services","Official estimates","# 0","5.78","",""
"Tunisia","1975","Men","ISIC-Rev.2","9. Community, Social and Personal Services","Official estimates","# 0","165.95","",""
"Tunisia","1975","Men","ISIC-Rev.2","0. Activities not Adequately Defined","Official estimates","# 0","55.08","",""
"Tunisia","1975","Women","ISIC-Rev.2","Total.","Official estimates","# 0","260.58","",""
"Tunisia","1975","Women","ISIC-Rev.2","1. Agriculture, Hunting, Forestry and Fishing","Official estimates","# 0","68.98","",""
"Tunisia","1975","Women","ISIC-Rev.2","2. Mining and Quarrying","Official estimates","# 0","0.42","",""
"Tunisia","1975","Women","ISIC-Rev.2","3. Manufacturing","Official estimates","# 0","123.2","",""
"Tunisia","1975","Women","ISIC-Rev.2","4. Electricity, Gas and Water","Official estimates","# 0","0.52","",""
"Tunisia","1975","Women","ISIC-Rev.2","5. Construction","Official estimates","# 0","1.07","",""
"Tunisia","1975","Women","ISIC-Rev.2","6. Wholesale and Retail Trade and Restaurants and Hotels","Official estimates","# 0","7.11","",""
"Tunisia","1975","Women","ISIC-Rev.2","7. Transport, Storage and Communication","Official estimates","# 0","2.8","",""
"Tunisia","1975","Women","ISIC-Rev.2","8. Financing, Insurance, Real Estate and Business Services","Official estimates","# 0","1.91","",""
"Tunisia","1975","Women","ISIC-Rev.2","9. Community, Social and Personal Services","Official estimates","# 0","47.36","",""
"Tunisia","1975","Women","ISIC-Rev.2","0. Activities not Adequately Defined","Official estimates","# 0","7.21","",""

"footnoteSeqID","Footnote"
"1","Persons aged 15 years and over."
"2","Incl. electricity, gas and water."
